stdno,schoolyear,term,course,section,units,grade,courserank,contrib
1270-24737,2015,FIRST,DEVC 102,B-1L,3,____,1,1.0000,
1270-24737,2015,FIRST,DEVC 140,AB-1L,3,____,2,1.0000,
0398-85460,2015,FIRST,COST 110,E,3,____,2,1.0000,
9535-11439,2015,FIRST,DEVC 131,ST-1L,3,____,2,1.0000,
9535-11439,2015,FIRST,DEVC 199,S4,1,____,3,1.0000,
1122-59308,2015,FIRST,HIST 1(SSP),V2-1R,3,____,1,1.0000,
2224-80316,2015,FIRST,ABE 47,ST-1L,3,____,1,1.0000,
2760-32013,2015,FIRST,ABE 31,T-2L,2,____,1,1.0000,
4903-57364,2015,FIRST,DEVC 120,ST-1L,3,____,1,1.0000,
4903-57364,2015,FIRST,DEVC 140,AB-1L,3,____,2,1.0000,
7016-37611,2015,FIRST,CHEM 131,AB-1L,4,____,2,1.0000,
8757-53105,2015,FIRST,VMED 200-2,AR(2),2,____,1,1.0000,
8757-53105,2015,FIRST,VMED 155,F-3L,3,____,2,1.0000,
8912-00328,2015,FIRST,DEVC 102,B-1L,3,____,1,1.0000,
8912-00328,2015,FIRST,DEVC 198,AR,3,____,2,1.0000,
8912-00328,2015,FIRST,DEVC 140,AB-1L,3,____,3,1.0000,
4336-51826,2015,FIRST,DEVC 131,ST-1L,3,____,2,1.0000,
8684-34004,2015,FIRST,EE 141,V-2L,3,____,2,1.0000,
8684-34004,2015,FIRST,EE 181,YZ-2L,3,____,3,1.0000,
8684-34004,2015,FIRST,ENSC 16,W,3,____,4,1.0000,
0158-45360,2015,FIRST,PE 2-WF,WF-YZ2,0,____,1,1.0000,
3262-77169,2015,FIRST,IE 152,Y,3,____,1,1.0000,
8551-66261,2015,FIRST,MATH 14,B-3R,3,____,1,1.0000,
0951-05080,2015,FIRST,IE 152,Y,3,____,1,1.0000,
7259-66509,2015,FIRST,AECO 110,B-1L,3,____,3,1.0000,
7259-66509,2015,FIRST,AECO 141,U-2L,3,____,4,1.0000,
7259-66509,2015,FIRST,ECON 199b,G1b,1,____,5,1.0000,
8235-71385,2015,FIRST,ENSC 18,V-2L,3,____,1,1.0000,
2651-42007,2015,FIRST,DEVC 102,B-1L,3,____,1,1.0000,
2651-42007,2015,FIRST,ECON 10(SSP),T,3,____,2,1.0000,
2651-42007,2015,FIRST,DEVC 140,AB-1L,3,____,3,1.0000,
2651-42007,2015,FIRST,STS 1,Y1,3,____,4,1.0000,
8721-52567,2015,FIRST,ZOO 1,WX-8L,3,____,1,1.0000,
8721-52567,2015,FIRST,NASC 2(MST),G,3,____,3,1.0000,
8721-52567,2015,FIRST,AECO 199,Y2,1,____,4,1.0000,
8721-52567,2015,FIRST,NASC 4(MST),V,3,____,5,1.0000,
7230-77216,2015,FIRST,CHEM 40.1,19L,1,____,1,1.0000,
4153-02346,2015,FIRST,DEVC 102,B-1L,3,____,1,1.0000,
4153-02346,2015,FIRST,ENG 2(AH),Y-6R,3,____,2,1.0000,
4153-02346,2015,FIRST,DEVC 198,AR,3,____,3,1.0000,
4153-02346,2015,FIRST,DEVC 140,AB-1L,3,____,4,1.0000,
4153-02346,2015,FIRST,MCB 1,C-1L,3,____,5,1.0000,
9454-10863,2015,FIRST,CHEM 111.1,8L,2,____,1,1.0000,
9454-10863,2015,FIRST,ChE 143,T,3,____,2,1.0000,
9454-10863,2015,FIRST,ENG 10,C-6R,3,____,5,1.0000,
9454-10863,2015,FIRST,SUTC 171,WX-1L,3,____,6,1.0000,
6596-96366,2015,FIRST,DEVC 140,AB-1L,3,____,1,1.0000,
6596-96366,2015,FIRST,HIST 1(SSP),V2-1R,3,____,2,1.0000,
6596-96366,2015,FIRST,DEVC 198,AR,3,____,3,1.0000,
2475-62774,2015,FIRST,ENSC 26,C-4L,3,____,3,1.0000,
2210-10379,2015,FIRST,DEVC 140,AB-1L,3,____,1,1.0000,
2210-10379,2015,FIRST,DEVC 198,AR,3,____,2,1.0000,
